ticker	2020-08-01	2020-05-01	2020-02-01	2019-11-01	2019-08-01
GAXY	0.0038	0.0053	0.11	0.3799	2.06
ZN	0.45	0.26	0.23	0.21	0.33
GE	6.07	6.79	12.42	9.95	10.4
SONN	4.11	5.2	16.64	19.76	19.5
F	6.61	5.09	8.82	8.45	9.22
PINS	34.29	20.66	22.03	25.14	28.99
MCOA	0.0017	0.008	0.049	0.1865	0.36
AAPL	425.04	293.01	307.94	246.76	210.53
SRNE	8.92	2.27	3.83	1.52	2.69
AMD	77.43	52.39	47.0	33.93	30.45
SGMD	0.0024	0.0023	0.0077	0.0181	0.0117
ECOR	2.23	0.96	1.26	1.58	1.41
FLDM	7.04	2.24	3.84	4.92	11.75
BAC	24.88	23.88	32.4	30.69	29.91
KODK	21.85	2.25	3.41	2.67	2.42
FB	253.67	204.71	201.91	191.65	194.23
AAL	11.12	12.01	26.74	29.85	30.19
SNAP	22.42	17.61	18.38	15.06	16.8
MSFT	205.01	178.71	169.29	142.1	134.61
MARK	1.55	0.57	0.58	0.72	0.9
TOPS	0.1	0.23	0.67	3.2	7.4
SNSS	0.3	0.45	0.53	0.58	0.86
INTC	47.73	59.64	63.26	55.63	49.41
WFC	24.26	28.47	45.52	49.59	45.98
MARA	2.03	0.45	1.04	1.35	2.09
IZEA	1.425	0.25	0.32	0.28	0.404
T	29.58	29.95	36.34	36.69	32.01
PPCB	0.002	0.0129	0.1566	0.65	1.7
OPK	5.15	2.22	1.45	1.42	2.11
SIRI	5.88	5.9	7.04	6.68	6.21
CTL	9.65	10.36	13.06	12.16	11.11
XOM	42.08	45.59	60.08	64.57	70.18
MGM	16.09	16.83	30.83	28.17	29.54
TNXP	1.29	0.67	1.4	2.9	5.3
BA	158.0	141.02	316.39	335.94	335.1
UAL	31.38	29.58	74.8	90.84	91.91
PCG	9.35	10.64	15.21	6.17	18.13
NCLH	13.64	16.4	53.85	50.76	49.44
VRUS	0.003	0.011	0.016	0.018	0.026
VAL	0.39	0.46	5.11	4.11	8.27
PFE	38.48	37.61	36.52	36.89	36.99
ZOM	0.158	0.17	0.199	0.3	0.26
OCGN	0.515	0.313	0.53	1.62	10.8
X	6.66	7.67	9.05	11.44	14.88
HPE	9.87	9.96	13.64	15.94	13.86
